date,M3 Money Supply
2010-01-01,1.36205E+12
2011-01-01,1.46212E+12
2012-01-01,1.56036E+12
2013-01-01,1.66261E+12
2014-01-01,1.80022E+12
2015-01-01,1.9343E+12
2016-01-01,2.10133E+12
2017-01-01,2.23214E+12
2018-01-01,2.34291E+12
