Province,Year,Goods-producing industries  [T002]7,Service-producing industries  [T003]8,Industrial production  [T010]9,Information and communication technology sector  [T013]10,Energy sector  [T016]11,"Agriculture, forestry, fishing and hunting  [11]","Mining, quarrying, and oil and gas extraction  [21]",Utilities  [22],Construction  [23],Manufacturing  [31-33],Wholesale trade  [41],Retail trade  [44-45],Transportation and warehousing  [48-49],Information and cultural industries  [51],Finance and insurance  [52],Real estate and rental and leasing  [53],"Professional, scientific and technical services  [54]",Management of companies and enterprises  [55],"Administrative and support, waste management and remediation services  [56]",Educational services  [61],Health care and social assistance  [62],"Arts, entertainment and recreation  [71]",Accommodation and food services  [72],Other services (except public administration)  [81],Public administration  [91]
Nova Scotia,2017,19.47,80.53,10.58,4.22,2.26,3.2,0.58,2.1,5.99,7.61,3.55,6.9,3.48,3.25,5.61,15.68,4.45,0.32,2.07,6.87,10.71,0.61,2.58,2.05,12.39
Nova Scotia,2018,19.36,80.64,10.94,4.16,2.26,3.2,0.69,2.19,5.51,7.78,3.5,6.84,3.59,3.11,5.67,15.74,4.52,0.31,2.1,6.91,10.86,0.61,2.67,2.11,12.1
New Brunswick,2010,25.35,74.65,15.57,3.42,5.25,2.55,2.62,2.66,7.46,10.06,4.24,6.64,4.76,2.96,5.07,11.59,3.24,0.44,4.05,6.19,9.38,0.71,2.14,1.92,11.32
New Brunswick,2011,25.65,74.35,16.25,3.55,5.64,2.34,3.05,3.03,7.27,9.96,3.86,6.31,4.64,3.02,5.16,11.64,3.33,0.49,4.14,6.24,9.38,0.69,2.06,1.93,11.47
New Brunswick,2012,25.41,74.59,15.89,3.49,5.51,2.84,2.71,2.97,6.9,9.99,3.67,5.88,4.73,3.02,5.16,12.02,3.36,0.49,4.13,6.27,9.6,0.66,2.06,1.98,11.56
New Brunswick,2013,23.65,76.35,14.91,3.35,5.76,2.69,1.39,3.2,6.28,10.1,3.66,5.95,4.94,3.13,5.28,12.3,3.38,0.49,4.16,6.41,9.85,0.62,2.05,2.04,12.1
New Brunswick,2014,23.28,76.72,14.34,3.34,5.25,2.97,1.17,3.45,6.2,9.49,3.47,6.19,5.03,3.12,5.5,12.33,3.28,0.47,4.27,6.38,9.87,0.59,2.09,2.03,12.11
New Brunswick,2015,24.6,75.4,15.34,3.26,6.28,3.26,1.27,3.14,6.23,10.71,3.33,6.2,5.03,2.92,5.45,12.31,3.29,0.44,4.23,6.18,9.85,0.5,2.17,1.94,11.56
New Brunswick,2016,24.91,75.09,14.9,3.29,5.81,3.46,0.95,3.17,6.78,10.55,3.33,6.24,5.05,2.89,5.51,12.39,3.27,0.42,4.14,6.12,9.78,0.49,2.19,1.95,11.34
New Brunswick,2017,25.26,74.74,15.02,3.09,5.87,3.46,0.95,3.16,7.02,10.67,3.41,6.54,5.13,2.74,5.67,12.2,3.14,0.38,4.06,6,9.7,0.49,2.15,1.93,11.2
New Brunswick,2018,24.99,75.01,14.88,3.03,5.72,3.5,0.82,3.15,6.85,10.68,3.2,6.48,5.32,2.63,5.76,12.14,3.26,0.35,3.98,6.04,9.82,0.5,2.19,1.98,11.35
Quebec,2010,28.28,71.72,20.09,4.57,4.19,1.49,1.48,3.74,6.98,14.58,5.45,5.79,3.92,3.27,5.9,10.9,5.55,0.69,2.83,5.96,8.31,0.88,2.25,2.29,7.73
Quebec,2011,28.4,71.6,20,4.7,4.09,1.54,1.77,3.61,7.12,14.35,5.33,5.6,3.95,3.24,5.85,10.86,5.76,0.73,2.86,5.99,8.29,0.86,2.2,2.28,7.79
Quebec,2012,28.09,71.91,19.14,4.7,3.65,1.83,1.51,3.47,7.4,13.88,5.19,5.72,4.01,3.25,5.66,11.01,5.91,0.73,2.93,6.01,8.31,0.88,2.2,2.31,7.79
Quebec,2013,27.33,72.67,18.75,4.66,3.79,1.74,1.5,3.6,7.15,13.34,5.38,5.83,4.13,3.09,5.7,11.06,5.97,0.74,2.97,6.08,8.52,0.85,2.19,2.21,7.95
